Order_Number,State_Code,Order_Date,Status,Product,Category,Brand,Quantity,Total_Cost,Total_Sales,Supervisor,Profit,Profit_Margin_Pct,Order_Year,Order_Month,Is_Delivered
139374,AP,2020-01-11,Delivered,512 GB M.2,SSD,Samsung,1,6500,8450,Ajay Sharma,1950,23.08,2020,1,1
139375,AP,2020-01-11,Delivered,RYZEN 3rd gen. 3500,CPU,Intel,3,25500,33150,Roshan Kumar,7650,23.08,2020,1,1
139376,AS,2020-01-11,Delivered,2GB Graphic Card,Graphic Card,Nvidia,2,14000,18200,Aarvi Gupta,4200,23.08,2020,1,1
139377,BR,2020-01-11,Delivered,16 GB DDR4 RAM,RAM,Hynix,3,19650,25545,Vijay Singh,5895,23.08,2020,1,1
139378,CG,2020-01-11,Order,Standard ATX motherboard,MotherBoard,Gigabyte,4,30600,39780,Aadil Khan,9180,23.08,2020,1,0
139379,CG,2020-01-11,Order,Compact with 1 Fan,Cabinet,Asus,2,2300,2990,Advika Joshi,690,23.08,2020,1,0
139380,CG,2020-01-11,Order,USB Backlight Keyboard,Keyboard,Dell,3,2550,3315,Ajay Sharma,765,23.08,2020,1,0
139381,CG,2020-01-12,Order,Ergonomic Mouse,Mouse,Samsung,2,1300,1690,Ajay Sharma,390,23.08,2020,1,0
139382,CG,2020-01-13,Order,15 LCD Display,Monitor,Dell,1,7500,9750,Roshan Kumar,2250,23.08,2020,1,0
139383,JK,2020-01-14,Order,2 TB HDD,HDD,Seagate,3,30000,39000,Aarvi Gupta,9000,23.08,2020,1,0
139384,JH,2020-01-15,Order,1 TB SSD,SSD,Samsung,1,10500,13650,Aadil Khan,3150,23.08,2020,1,0
139385,KA,2020-01-16,Order,Intel i5 12th gen.,CPU,Intel,4,34000,44200,Advika Joshi,10200,23.08,2020,1,0
139386,KL,2020-01-17,Order,2GB Graphic Card,Graphic Card,Nvidia,2,14000,18200,Ajay Sharma,4200,23.08,2020,1,0
139387,KL,2020-01-18,Processing,4 GB DDR4 Ram,RAM,Hynix,1,1680,2184,Ajay Sharma,504,23.08,2020,1,0
139388,KL,2020-01-19,Processing,Micro ATX motherboard,MotherBoard,MSI,2,13080,17004,Roshan Kumar,3924,23.08,2020,1,0
